file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\Signal-Android-main\video\lib\src\main\java\org\thoughtcrime\securesms\video\videoconverter\VideoThumbnailsExtractor.java,org.thoughtcrime.securesms.video.videoconverter.VideoThumbnailsExtractor,class,12,13,1,12,29,1,0,42,0,0.0,NaN,NaN,2,2,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,15,158,0,2,9,3,3,21,24,42,21,31,5,0,1,0,95,16,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\ServiceResponse.java,org.whispersystems.signalservice.internal.ServiceResponse,class,8,16,8,8,25,1,0,20,42,0.6875,0.24175824,0.4945055,16,7,14,2,0,0,14,0,0,0,5,0,0,5,0,0,5,0,10,90,20,0,6,0,1,1,1,5,0,5,1,0,0,0,60,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\MemoryUnitFormat.java,org.thoughtcrime.securesms.util.MemoryUnitFormat,enum,2,4,2,2,9,1,0,7,4,0.6666667,0.0,0.0,4,2,3,0,0,1,4,0,0,0,3,2,0,3,0,0,3,0,6,25,3,0,1,0,2,7,7,8,4,5,1,0,0,0,67,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\test\java\org\whispersystems\signalservice\api\util\UuidUtilTest.java,org.whispersystems.signalservice.api.util.UuidUtilTest,class,2,2,0,2,5,1,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,9,0,10,0,10,0,0,0,0,38,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\payments\backup\entry\PaymentsRecoveryEntryViewState.java,org.thoughtcrime.securesms.payments.backup.entry.PaymentsRecoveryEntryViewState,class,1,2,1,1,5,1,0,0,0,0.4,0.7,1.0,5,0,0,0,0,5,5,0,0,0,3,0,0,3,0,0,3,0,0,24,3,0,0,0,0,0,1,6,0,3,0,0,0,0,17,0,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\push\exceptions\MissingConfigurationException.java,org.whispersystems.signalservice.api.push.exceptions.MissingConfigurationException,class,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobs\AttachmentMarkUploadedJob.java,org.thoughtcrime.securesms.jobs.AttachmentMarkUploadedJob$InvalidAttachmentException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\conversation\ConversationItem.java,org.thoughtcrime.securesms.conversation.ConversationItem$SharedContactEventListener,innerclass,6,6,0,6,9,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,1,0,0,0,15,2,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobmanager\impl\SqlCipherMigrationConstraintObserver.java,org.thoughtcrime.securesms.jobmanager.impl.SqlCipherMigrationConstraintObserver$SqlCipherNeedsMigrationEvent,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\crypto\MasterCipher.java,org.thoughtcrime.securesms.crypto.MasterCipher,class,8,13,5,8,26,1,0,36,121,0.8333333,0.22222222,0.2777778,18,0,9,9,0,0,9,0,0,0,5,1,0,5,0,0,5,0,11,132,18,0,0,6,0,10,10,26,8,26,1,0,0,0,88,1,0
